*******************************************************************************
 Revised: Aug 13, 2009   Ulysses Spacecraft (interplanetary) / (Sun)        -55
                             http://ulysses.jpl.nasa.gov/ 
            http://ulysses-ops.jpl.esa.int/ulsfct/rgpCafe/solsys/solsys.html

 MISSION ENDED: June 30, 2009. Last tracking data: 2009-Jun-29.
  The Ulysses Radioisotope Thermoelectric Generators (RTGs) have been steadily 
  losing power over the years and can no longer run all the communications, 
  scientific equipment, and heating simultaneously. Soon the spacecraft will 
  become so cold that its hydrazine fuel lines will freeze and it will become 
  impossible to maneuver. 

  A five year mission was planned, but for more than 17 years, the spacecraft 
  has studied the Sun, magnetic fields, the solar wind, x-rays and particles 
  from solar flares, and more. 
 
 BACKGROUND
   Launched : Oct 6, 1990                   Jupiter gravity assist: Feb 8, 1992
   Deployed from shuttle Discovery (STS-41) 160 nm above Earth

   Objective: Study the Sun from high solar latitudes.
   Ulysses is a joint mission between NASA and the European Space Agency (ESA).

   To reach high solar latitudes, the spacecraft was directed past Jupiter to 
   obtain a gravity-assist, accelerating Ulysses out of the ecliptic plane.

   With an orbital period of 6 years, observations have/will be obtained at 
   both the minimum and maximum of the 11 year solar cycle.

   See the web-page above for extensive information on the Ulysses Mission.

 SPACECRAFT TRAJECTORY:
  ... concatenated of trajectories provided Navigation Team (Mark Ryne/JPL). 

  File name              Span
  ---------------------  --------------------------------------------------
  pfile_ulysses_history  1990-Oct-6 (injection) to 2050-Jan-1. 
                         Trajectory after 2009-Jun-29 is predicted.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 13:25:17 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Oct-06 20:00:00.0000 TDB
Stop  time      : A.D. 2008-Jan-01 12:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448171.333333333, A.D. 1990-Oct-06 20:00:00.0000,  1.455457428810436E+08,  3.487570562233735E+07, -2.753740014374256E+03, -1.221503112545164E+01,  3.981070406416433E+01,  1.505840661889243E+00,  4.992316661326942E+02,  1.496658883013557E+08, -2.601952489125093E+00,
2448172.333333333, A.D. 1990-Oct-07 20:00:00.0000,  1.444855384656331E+08,  3.825791839034650E+07,  1.212914989064354E+05, -1.249154167044441E+01,  3.901277681797345E+01,  1.426570870309142E+00,  4.985612137049695E+02,  1.494648917200761E+08, -2.088292831353542E+00,
2448173.333333333, A.D. 1990-Oct-08 20:00:00.0000,  1.433851807376350E+08,  4.162196680879483E+07,  2.444113517803699E+05, -1.298082588562814E+01,  3.886005449755624E+01,  1.423812959814992E+00,  4.980253577033058E+02,  1.493042461322033E+08, -1.630751820571366E+00,
2448174.333333333, A.D. 1990-Oct-09 20:00:00.0000,  1.422424080095452E+08,  4.497284747490152E+07,  3.673494334595092E+05, -1.347209926029307E+01,  3.870532710505285E+01,  1.422000067173819E+00,  4.976212271422106E+02,  1.491830908379396E+08, -1.173676557198673E+00,
2448175.333333333, A.D. 1990-Oct-10 20:00:00.0000,  1.410572568589025E+08,  4.830997601859538E+07,  4.901304862840101E+05, -1.396151945271429E+01,  3.854129714808395E+01,  1.420117255198472E+00,  4.973489175111218E+02,  1.491014544642984E+08, -7.159450741459985E-01,
2448176.333333333, A.D. 1990-Oct-11 20:00:00.0000,  1.398299467480396E+08,  5.163247448915691E+07,  6.127374693480767E+05, -1.444785092282938E+01,  3.836656067397150E+01,  1.417952475916966E+00,  4.972086070099897E+02,  1.490593904342808E+08, -2.577021629007004E-01,
2448177.333333333, A.D. 1990-Oct-12 20:00:00.0000,  1.385607796184370E+08,  5.493939882463095E+07,  7.351424714744054E+05, -1.493031867048898E+01,  3.818076247857671E+01,  1.415434744743189E+00,  4.972003914380580E+02,  1.490569274677776E+08,  2.006756009867378E-01,
2448178.333333333, A.D. 1990-Oct-13 20:00:00.0000,  1.372501172046546E+08,  5.822979088630928E+07,  8.573135939720050E+05, -1.540829101538312E+01,  3.798387978055990E+01,  1.412535594126185E+00,  4.973242464013976E+02,  1.490940582516726E+08,  6.587426488115353E-01,
